,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Unnamed: 10,Unnamed: 11,Diff_coeff_filtering
61,27,10000.0,19.24,97,33611.11,19.24,0.28,-0.56,0.38,0.62,,,13.42644312849886
62,27,10000.0,19.24,101,36736.11,19.24,0.27,-0.57,0.39,0.61,,,14.430947637367723
63,27,10000.0,19.24,112,40000.0,19.24,0.24,-0.62,0.42,0.58,,,14.127129468820282
64,37,11736.11,19.24,21,5625.0,19.24,1.76,0.25,0.17,0.83,,,20.8365419580564
65,37,11736.11,19.24,21,6944.44,19.24,1.76,0.25,0.17,0.83,,,12.837471578988673
66,37,11736.11,19.24,21,8402.78,19.24,1.76,0.25,0.17,0.83,,,0.3578280103623196
67,37,11736.11,19.24,27,10000.0,19.24,1.37,0.14,0.09,0.91,,,3.9069572049046544
68,37,11736.11,19.24,37,11736.11,19.24,1.0,0.0,0.0,1.0,,,-1.0
69,37,11736.11,19.24,37,13611.11,19.24,1.0,0.0,0.0,1.0,,,-1.0
70,37,11736.11,19.24,45,15625.0,19.24,0.82,-0.09,0.06,0.94,,,23.275838772871488
71,37,11736.11,19.24,48,17777.78,19.24,0.77,-0.11,0.08,0.92,,,24.94131699569866
72,37,11736.11,19.24,61,20069.44,19.24,0.61,-0.22,0.15,0.85,,,16.50457977108222
73,37,11736.11,19.24,69,22500.0,19.24,0.54,-0.27,0.19,0.81,,,15.846906734176672
74,37,11736.11,19.24,69,25069.44,19.24,0.54,-0.27,0.19,0.81,,,19.436597920927575
75,37,11736.11,19.24,69,27777.78,19.24,0.54,-0.27,0.19,0.81,,,22.15045537883003
76,37,11736.11,19.24,89,30625.0,19.24,0.42,-0.38,0.26,0.74,,,16.93771183069998
77,37,11736.11,19.24,97,33611.11,19.24,0.38,-0.42,0.29,0.71,,,16.91466089331253
78,37,11736.11,19.24,101,36736.11,19.24,0.37,-0.44,0.3,0.7,,,17.8568385126804
79,37,11736.11,19.24,112,40000.0,19.24,0.33,-0.48,0.33,0.67,,,17.24653211040237
80,37,13611.11,19.24,21,5625.0,19.24,1.76,0.25,0.17,0.83,,,24.524379641622293
81,37,13611.11,19.24,21,6944.44,19.24,1.76,0.25,0.17,0.83,,,18.880221778927083
82,37,13611.11,19.24,21,8402.78,19.24,1.76,0.25,0.17,0.83,,,10.62374421307501
83,37,13611.11,19.24,27,10000.0,19.24,1.37,0.14,0.09,0.91,,,14.23157626439333
84,37,13611.11,19.24,37,11736.11,19.24,1.0,0.0,0.0,1.0,,,-1.0
85,37,13611.11,19.24,37,13611.11,19.24,1.0,0.0,0.0,1.0,,,-1.0
86,37,13611.11,19.24,45,15625.0,19.24,0.82,-0.09,0.06,0.94,,,5.429213432096303
87,37,13611.11,19.24,48,17777.78,19.24,0.77,-0.11,0.08,0.92,,,15.413279068283046
88,37,13611.11,19.24,61,20069.44,19.24,0.61,-0.22,0.15,0.85,,,8.12808067389604
89,37,13611.11,19.24,69,22500.0,19.24,0.54,-0.27,0.19,0.81,,,9.159636112378005
90,37,13611.11,19.24,69,25069.44,19.24,0.54,-0.27,0.19,0.81,,,14.272172936641246
91,37,13611.11,19.24,69,27777.78,19.24,0.54,-0.27,0.19,0.81,,,18.027044622527615
92,37,13611.11,19.24,89,30625.0,19.24,0.42,-0.38,0.26,0.74,,,12.76685769311721
93,37,13611.11,19.24,97,33611.11,19.24,0.38,-0.42,0.29,0.71,,,13.154978628984036
94,37,13611.11,19.24,101,36736.11,19.24,0.37,-0.44,0.3,0.7,,,14.493022680085748
95,37,13611.11,19.24,112,40000.0,19.24,0.33,-0.48,0.33,0.67,,,14.097299921375848
96,45,15625.0,19.24,21,5625.0,19.24,2.14,0.33,0.23,0.77,,,21.510980444265925
97,45,15625.0,19.24,21,6944.44,19.24,2.14,0.33,0.23,0.77,,,16.298796596785706
98,45,15625.0,19.24,21,8402.78,19.24,2.14,0.33,0.23,0.77,,,9.406365859904232
99,45,15625.0,19.24,27,10000.0,19.24,1.67,0.22,0.15,0.85,,,11.304346800322815
100,45,15625.0,19.24,37,11736.11,19.24,1.22,0.09,0.06,0.94,,,23.275838772871488
101,45,15625.0,19.24,37,13611.11,19.24,1.22,0.09,0.06,0.94,,,5.429213432096303
102,45,15625.0,19.24,45,15625.0,19.24,1.0,0.0,0.0,1.0,,,-1.0
103,45,15625.0,19.24,48,17777.78,19.24,0.94,-0.03,0.02,0.98,,,28.760177646539027
104,45,15625.0,19.24,61,20069.44,19.24,0.74,-0.13,0.09,0.91,,,9.702859325443836
105,45,15625.0,19.24,69,22500.0,19.24,0.65,-0.19,0.13,0.87,,,10.671061836589212
106,45,15625.0,19.24,69,25069.44,19.24,0.65,-0.19,0.13,0.87,,,17.2241493348523
107,45,15625.0,19.24,69,27777.78,19.24,0.65,-0.19,0.13,0.87,,,21.597459002663022
108,45,15625.0,19.24,89,30625.0,19.24,0.51,-0.3,0.2,0.8,,,14.443304753579612
109,45,15625.0,19.24,97,33611.11,19.24,0.46,-0.33,0.23,0.77,,,14.709443371711552
110,45,15625.0,19.24,101,36736.11,19.24,0.45,-0.35,0.24,0.76,,,16.148648802585274
111,45,15625.0,19.24,112,40000.0,19.24,0.4,-0.4,0.27,0.73,,,15.529065522360211
