,Unnamed: 0,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Diff_coeff_filtering
61,61,27,10000.0,19.24,97,33611.11,19.24,0.28,-0.56,0.38,0.62,0.3727808942923095
62,62,27,10000.0,19.24,101,36736.11,19.24,0.27,-0.57,0.39,0.61,0.4006706403369612
63,63,27,10000.0,19.24,112,40000.0,19.24,0.24,-0.62,0.42,0.58,0.3922352261703476
64,64,37,11736.11,19.24,21,5625.0,19.24,1.76,0.25,0.17,0.83,0.5785199155684306
65,65,37,11736.11,19.24,21,6944.44,19.24,1.76,0.25,0.17,0.83,0.3564282878098745
66,66,37,11736.11,19.24,21,8402.78,19.24,1.76,0.25,0.17,0.83,0.009934980130558
67,67,37,11736.11,19.24,27,10000.0,19.24,1.37,0.14,0.09,0.91,0.1084754157796798
70,70,37,11736.11,19.24,45,15625.0,19.24,0.82,-0.09,0.06,0.94,0.6462462105646852
71,71,37,11736.11,19.24,48,17777.78,19.24,0.77,-0.11,0.08,0.92,0.6924876801324557
72,72,37,11736.11,19.24,61,20069.44,19.24,0.61,-0.22,0.15,0.85,0.4582443725489254
73,73,37,11736.11,19.24,69,22500.0,19.24,0.54,-0.27,0.19,0.81,0.4399842912672937
74,74,37,11736.11,19.24,69,25069.44,19.24,0.54,-0.27,0.19,0.81,0.5396509176420663
75,75,37,11736.11,19.24,69,27777.78,19.24,0.54,-0.27,0.19,0.81,0.615000300978846
76,76,37,11736.11,19.24,89,30625.0,19.24,0.42,-0.38,0.26,0.74,0.4702701454945731
77,77,37,11736.11,19.24,97,33611.11,19.24,0.38,-0.42,0.29,0.71,0.4696301435989608
78,78,37,11736.11,19.24,101,36736.11,19.24,0.37,-0.44,0.3,0.7,0.4957894035137959
79,79,37,11736.11,19.24,112,40000.0,19.24,0.33,-0.48,0.33,0.67,0.4788444416757188
80,80,37,13611.11,19.24,21,5625.0,19.24,1.76,0.25,0.17,0.83,0.6809115480005918
81,81,37,13611.11,19.24,21,6944.44,19.24,1.76,0.25,0.17,0.83,0.5242033122120319
82,82,37,13611.11,19.24,21,8402.78,19.24,1.76,0.25,0.17,0.83,0.2949648563346377
83,83,37,13611.11,19.24,27,10000.0,19.24,1.37,0.14,0.09,0.91,0.3951351580053879
86,86,37,13611.11,19.24,45,15625.0,19.24,0.82,-0.09,0.06,0.94,0.1507403724985622
87,87,37,13611.11,19.24,48,17777.78,19.24,0.77,-0.11,0.08,0.92,0.427944757972091
88,88,37,13611.11,19.24,61,20069.44,19.24,0.61,-0.22,0.15,0.85,0.2256735572851431
89,89,37,13611.11,19.24,69,22500.0,19.24,0.54,-0.27,0.19,0.81,0.2543143637287478
90,90,37,13611.11,19.24,69,25069.44,19.24,0.54,-0.27,0.19,0.81,0.3962623116112261
91,91,37,13611.11,19.24,69,27777.78,19.24,0.54,-0.27,0.19,0.81,0.5005151216534113
92,92,37,13611.11,19.24,89,30625.0,19.24,0.42,-0.38,0.26,0.74,0.3544677158793425
93,93,37,13611.11,19.24,97,33611.11,19.24,0.38,-0.42,0.29,0.71,0.3652437693866857
94,94,37,13611.11,19.24,101,36736.11,19.24,0.37,-0.44,0.3,0.7,0.4023941340214908
95,95,37,13611.11,19.24,112,40000.0,19.24,0.33,-0.48,0.33,0.67,0.3914070183370259
96,96,45,15625.0,19.24,21,5625.0,19.24,2.14,0.33,0.23,0.77,0.5972454841816608
97,97,45,15625.0,19.24,21,6944.44,19.24,2.14,0.33,0.23,0.77,0.4525308686067134
98,98,45,15625.0,19.24,21,8402.78,19.24,2.14,0.33,0.23,0.77,0.2611647361655189
99,99,45,15625.0,19.24,27,10000.0,19.24,1.67,0.22,0.15,0.85,0.3138615692394399
100,100,45,15625.0,19.24,37,11736.11,19.24,1.22,0.09,0.06,0.94,0.6462462105646852
101,101,45,15625.0,19.24,37,13611.11,19.24,1.22,0.09,0.06,0.94,0.1507403724985622
103,103,45,15625.0,19.24,48,17777.78,19.24,0.94,-0.03,0.02,0.98,0.7985171232972105
104,104,45,15625.0,19.24,61,20069.44,19.24,0.74,-0.13,0.09,0.91,0.2693967822985022
105,105,45,15625.0,19.24,69,22500.0,19.24,0.65,-0.19,0.13,0.87,0.2962786150003241
106,106,45,15625.0,19.24,69,25069.44,19.24,0.65,-0.19,0.13,0.87,0.4782229910795748
107,107,45,15625.0,19.24,69,27777.78,19.24,0.65,-0.19,0.13,0.87,0.5996465336649709
108,108,45,15625.0,19.24,89,30625.0,19.24,0.51,-0.3,0.2,0.8,0.4010137317118142
109,109,45,15625.0,19.24,97,33611.11,19.24,0.46,-0.33,0.23,0.77,0.4084029852261987
110,110,45,15625.0,19.24,101,36736.11,19.24,0.45,-0.35,0.24,0.76,0.4483620631783234
111,111,45,15625.0,19.24,112,40000.0,19.24,0.4,-0.4,0.27,0.73,0.4311595317945194
112,112,48,17777.78,19.24,21,5625.0,19.24,2.29,0.36,0.25,0.75,0.6188801503297776
113,113,48,17777.78,19.24,21,6944.44,19.24,2.29,0.36,0.25,0.75,0.496230088500832
114,114,48,17777.78,19.24,21,8402.78,19.24,2.29,0.36,0.25,0.75,0.3407635549304595
115,115,48,17777.78,19.24,27,10000.0,19.24,1.78,0.25,0.17,0.83,0.410266298625941
116,116,48,17777.78,19.24,37,11736.11,19.24,1.3,0.11,0.08,0.92,0.6924876801324561
117,117,48,17777.78,19.24,37,13611.11,19.24,1.3,0.11,0.08,0.92,0.4279447579720914
118,118,48,17777.78,19.24,45,15625.0,19.24,1.07,0.03,0.02,0.98,0.7985171232972101
120,120,48,17777.78,19.24,61,20069.44,19.24,0.79,-0.1,0.07,0.93,0.1118679778432949
121,121,48,17777.78,19.24,69,22500.0,19.24,0.7,-0.16,0.11,0.89,0.0858696067034311
122,122,48,17777.78,19.24,69,25069.44,19.24,0.7,-0.16,0.11,0.89,0.3721502640264462
123,123,48,17777.78,19.24,69,27777.78,19.24,0.7,-0.16,0.11,0.89,0.5456361099728879
124,124,48,17777.78,19.24,89,30625.0,19.24,0.54,-0.27,0.18,0.82,0.3198706875390554
125,125,48,17777.78,19.24,97,33611.11,19.24,0.49,-0.31,0.21,0.79,0.3398247708402798
126,126,48,17777.78,19.24,101,36736.11,19.24,0.48,-0.32,0.22,0.78,0.3931122199754267
127,127,48,17777.78,19.24,112,40000.0,19.24,0.43,-0.37,0.25,0.75,0.3795882056785541
